word,definition
akop,"greedy, selfish"
aksento,"accent, stress"
aksento,"to accent, put stress (on)"
aksidenti,accident
aktor,actor
aktris,actress
alima,to use one's hands on
alima,hand
alim-pu-pudw-an,crown of head (where hair whorls)
ali-pudw-an,hair whorl
alitaptap,"glowworm, found on rocks at high tide"
ali-taptap,"glowworm, founds on rocks at high tide"
ama,father
ama-ama,stepfather
amak-an,mat of woven bamboo
aman,"to beware of, be careful with"
ambon,"fog, mist, haze"
amihan,northeast wind
amihan-an,north(erly)
amo,"lord, master, overseer"
ampaw,popped rice candy
amuma,"to entertain, take care of"
-an,"common suffix denoting a place or a referent. Used with (1) verbs: 'candy was bought for them', (2) nouns: 'church' (from 'worship'), 'market' (from 'goods for sale'), (3) adjectives: 'talkative' (from 'mouth')"
anad,"to be used to, be accustomed to; familiar with"
anahaw,fan palm: Livistona rotundifolia
anak,"godchild; become a godparent, be a godparent"
ananay,"to go slowly, work carefully, do gradually"
anay,termite (general term)
angay,"to complement, be a good match for, be fitting, harmonize; to adjust; to tune a musical instrument"
anghit,"smelly, having strong body odor (or an odor like the body odor; said of butter and some animals)"
angkas,"to ride together, hop on (a bicycle)"
angkat,get on credit
angkit,"to bite, nip"
angkob,"seal, filling, joiner, gap-filler"
angso,having the smell of urine
angsod,underarm odor
angtod,"smelling overcooked (said of food, esp. rice)"
ani,"to harvest, gather a crop"
anih-an,the harvest
anilaw,small tree: Grewia eriocarpa
anino,"shadow, reflection; image; silhouette"
anitos,"benevolent lesser spirits who go around counteracting the evil done by devils or evil spirits (the pagan version of a ""saint"")"
a-no,what?; do what? (particle that can be used as any part of speech)
anod,"follow the current, drift"
antabay,wait for
antabay-an,wait for one another
antad,"gap, distance, space"
anting,"keen, good, sharp (of hearing)"
anting-anting,"amulet, charm (supposedly possessing a secret power allowing a person to avoid injury); power of invulnerability"
anwang,"carabao, water buffalo"
apan,locust
apas,"follow after, go a little later"
a-p-at,four
apaw,"to exceed, go beyond; above one's head (as river water)"
apdo,bile; bile duct (and/or) gall bladder
apdoh,bile; bile duct (and/or) gall bladder
apeod,having the flavor of raw or unripe bananas
apid,"join, attach, enclose"
apo,grandchild
apog,powdered lime (used in chewing betel nuts); to put lime (into)
apog-an,"lime box, case used for storing lime powder"
Aquino,barrio of Ibajay
asawa,"spouse: husband, wife; married (said of a woman)"
asik,"splash, spatter (Also 'fly off, scatter, spray')"
asin,"salt; to salt, put salt into"
asin-i,salt it! (imperative)
aslom,make sour
aso,"smoke, fumes (visible); to give off smoke, to smoke"
asog,lesbian; any woman who acts outside of the female role; tomboy
aswang,"vampire, evil creature (preying on people, sucking liver bile and leaving them weak or with some strange afflictions)"
ata,"Oh, my goodness (expression of surprise)"
ata,"fluid, potion, liquids, semen"
atab,"overflow slightly, flood over a little bit"
atang,a room divider
atang,"put up, hoist"
atas,evaporate
atay,liver (of animals or people)
atimon,canteloupe: Cucumis melo L.
atip,"large board or piece of wood used as a brace or support, particularly when grinding"
atipuyong,"feel faint, be dizzy"
atis,"a fruit, the sugar apple: Anona squamosa Linn."
atis,sugar apple: Annona squamosa L.
atis,sugar apple: Annona squamosa Linn.
atop,roof
atsi,sneeze
atubang,"face (up to), confront, stand/appear in front of; front"
atubang-an,genitals
atubang-an,"front, in front of"
away,"to fight, quarrel, argue"
ay,"interjection: my! oh! what? (shock, surprise)"
ayag,"to screen, sift"
ayam,"dog; chase with a dog, sic a dog on"
ayat,to challenge (to a fight)
ayaw,"abandon, leave behind"
ayod-ayod,"move the waist up and down, back and forth (as in the act of intercourse)"
ayon,"be in favor of, support, agree with"
ayon,"to be in favor of, support, agree with"
ba,"interjection, expressions of disbelief"
ba-ak,cut bamboo lengthwise
ba-ba,mouth
babad,soak
babayi,"act like a female (said of a male), be effeminate"
ba-bayi,woman; female
badbad,"unravel, take apart (as threads in a garment); to fray, get unravelled"
badlit,lines or marks in the palm
baeabag,"blocking, obstructing, put across, stretching over; thwart, hindrance, obstruction"
baeagon,vine (generic term)
baeagon,vine (generic)
baeanak,fish sp.
baeanaw,puddle (of water)
baeanga,"loss of attention, distraction"
baeangka,"take apart, dismantle"
baeas,sand
baeas-on,"sandy, having sand (in)"
baeat,edible green or black eel found at seashore
baeatik,"booby trap, improvised trap, (to catch by surprise)"
baeayi,the relationship of the parents of each wedded couple; co-parents-in-law
baebae,"to whip, beat"
baeo,"knowledge, awareness of"
baeos,"revenge, repayment; pay back (a favor), revenge (a crime), get even"
baga,"glowing ember; be aglow, smoulder"
baga,"swollen, swelled up"
baga,lung
bag-ang,"molar tooth, molar teeth"
bagani,"hero, patriot"
baganih-an,"heroism, patriotism; heroes, patriots (collectively)"
bagay,"suits, matches; complementary, becoming; to complement, be appropriate, match; tune a musical instrument"
bagay,"thing, case; the right thing"
bagbag,"to crash, come or fall down (as a plane that crashes)"
bago,"before, prior to"
bago,bago tree: Gnetum gnemon
bag-o,new; recently
bagsak,bedbug
bagsak,"to crash, fall down"
bagyo,"hurricane, storm"
baha,"flood; to overflow, flood"
bahag,"G-string, breechcloth; underwear"
bahaw,"cold rice; cool off, get cool (said of food)"
bahi,hard stick
baho,"smell, odor, stench; to stink"
bahog,"swill, slop, pig food; to feed pigs; pour soup on"
bahog-an,feeding trough for pigs
bakan,kind of tree
bakang,"to walk with the knees apart, walk bowleggedly; bowlegged"
bakas,"hurry up, hasten, quicken"
bakaw-an,tree that is good for firewood: Rhizophora mucronata
bakbak,take off the bark of a tree
bakla,"homosexual, queer; effeminate man"
balete,balete tree: Ficus benjamina L.
bali,"broken, fractured"
bali,"get broken in two, get fractured (as an arm)"
balila,"fish -- quite long, with plenty of spines"
baling-baling,"unsteady, aimless (said of a flying object without aim)"
balintawak,"native dress, knee-length, worn only for dances"
balisong,"long, sharp knife common to Batangas"
balita,"news, report; newspaper; to report"
baliw,bewitched
bana-ag,"rays (of the rising sun); to be rising (said of sun), send off rays"
banaba,medicinal tree: Premna cumingiana Schaver
bana-bana,"tree, fruit, guayabano. Anona muricata L."
bana--bana,"estimation, calculation; opinion"
banaw,"to wash (hands, feet)"
banban,herb used for roofing: Donax cannaeformis
banga,palm tree: Orania palindan
bangbang,"fall down, cave in (such as sides of riverbank)"
bangga,"ambush; collide, hit together"
bangil,shim (something used to level off an unbalanced table or chair that is wobbling)
bangkae,tree with reddish fruit: Nauclea junghuhnia
bangkat,woven basket (for small fishes)
bangkaw,spear
bangkay,"corpse, dead person"
bangkiling,a tree: Cicca acida
bangon,"get up (out of bed), arise"
banlaw,rinse out (with water after soaping)
banog,bird of prey (hawk)
bansag,"famous, popular, noted"
bantae,to dam up
bantog,"famous, noted, well-known; to announce"
banwa,"town, country"
banyaga,"criminally-inclined, evil-minded"
baog,"putrid, ruined, spoiled, rotten; sterile (incapable of bearing children)"
baog,"to putrefy, rot (like old eggs)"
barang,"black magic, voodoo, witchcraft"
baranggay,"native boats -- of historical import, which brought the first Malaysian settlers; club, group, organization"
barlak,"shine, radiate"
basag,broken
basag,to break
basbas,"chip off, trim off"
bata,"childish, young, youthful, immature"
batbat,pound out metal
bati-is,"calf, lower leg"
bato,stone
bato-bato,kidney
batok,nape of neck
bawi,"to reclaim, repossess, take back, salvage"
bawog,bamboo spring in a booby trap
baya,to ignore
bayad,payment; pay
baybay,"beach, seashore; bank (of a river)"
bayo,"to box, hit, pound, pummel"
bayuong,buri bag (usually for one cavan)
bayw-on ta,I'll box you
bi-as,"joint, notch (of finger); internode of flora, the part between the joints of flowers and plants"
bi-as,"joint, notch (of finger); internode of flora, the part between the joints of flowers and plants"
bibi,duck
bibig,lip(s)
bi-bingka,"cake made of rice or cassava, cooked between two fires"
bida,"hero (of story, movie); main actor"
bidh-an-an,filled with fish eggs
biga,sexual excitement or feeling
biga-on,oversexed (female)
bigkis,sash (piece of cloth wrapped around the waist)
bihag,capture; get the prize (at a cockfight)
bihod,"fish eggs, caviar"
bika,"shard, potsherd (broken piece, chip off earthenware vessels)"
bika,"spread the legs apart, do a split"
bilang,"somewhat like, considered as, like; consider (as), reckon (as)"
bilang,"somewhat like, considered as, like; to consider as, reckon as"
bilanggo,"to imprison, jail"
bilanggo-an,"prison, jail"
bilas,"the relationship between two outside in-laws, such as the wife of one brother to the wife of another brother"
bili,"cost, price, value, worth; be worth, have a value, be priced at"
bilin,"leave behind; order, request"
b-il-itay-an,"gallows, place of hanging"
bilog,"solid, entire, whole; full (moon)"
bilog,"consolidate, unify, make into a single unit; unit"
bingat,"pull open, pull apart"
bingka,dessert cake
bingkit,"join, unite, tie together"
bingkong,"curl up (fingers, paper)"
binhi,"seed, grain"
b-ini-as,"section, internode, joint (of plant, finger)"
b-in-iray,sailboat -- usually three boats tied together during a water festival
bintoe,fish trap
b-in-uean,monthly
b-in-uhat,"creature, creation"
b-in-umba,was pumped by
b-in-umbah-an,were bombed
b-in-utw-an,"blistered, having blisters"
bira,"sock, punch, box, hit"
biri-biri,beri beri (disease caused by lack of thiamine)
bisa,"effect, result"
bitas,"slit open, split up; pull apart"
bitay,"hang, suspend"
bitbit,"carry in one's hand (usually by a handle, like a suitcase or a trunk)"
bitik,flea (as on dogs)
bitin,poisonous snake
bitin,"pull up; dangle, hang (from)"
bitu-on,star (general term)
bobo,fish trap
bo-bo,"pour out, dump out"
bola,ball
bolah-an,ballfield
bolimbod,to tie up (by running the string around many times)
bosina,horn (as on motor vehicles)
botiti,"poisonous fish with bloated stomach; bloated, swollen, inflated"
boto,to vote for
boto,"penis, male organ"
buas,tomorrow
bubon,open well
bubon-bubon,soft spot or crown (of infant's head)
bubong,inside roof
bubong-an,"rafters, attic, inside area of roof"
budbud,to wind up; spindle
budbud,wind up; spindle
buding,"soot, carbon"
buea,"froth, foam, bubbles; to form bubbles or foam; talk with pride about oneself or others"
buead,dry out in the sunshine
bueag,"to separate, disjoin, put/pull apart; leave one another, separate, go apart"
bueak,flower (generic)
bueak-bueak,embellishment (in speech); artificial flower
buean,"moon, month"
bueang,blade (used in cock fighting); enter a rooster into a cockfight
bueang-an,"gallery, arena, place for a cockfight"
bueaw,become jaundiced
bueaw,fish with yellow stripe
bueaw-an,gold
bueawan-on,golden
buebue,hair (of animals or people); feathers (of fowl)
bueo-buko,ankle
bueong,"medicine, cure; to medicate, cure, administer medicine"
b-ue-uhat-on,"work, deed"
bufy-ad,have one's stomach protrude or stick out
buga,"exhale, blow out (smoke of a cigarette)"
bug-ak,"proud, haughty, boastful"
bugang,kind of grass used for making brooms: Phragmites vulgaris
bugas,"uncooked, polished rice"
bug-at,"become heavy, get heavier"
bugaw,"fly whisk; matchmaker, pimp"
bugaw,"to shoo, drive away, evict"
bugay,"give, offer"
bugbug,"beat to unconsciousness, knock out; get knocked out"
bugkos,"bundle, package; to tie up, bundle, package"
bugnay,tree with red fruit: Antidesma bunius (L.) Spreng.
bugsay,"paddle; oar (for boat); to paddle, row (a boat)"
bugto,"to break, snap"
bugtong,only child
buhat,"to make, do, work; create"
buhis,a tax; impose a tax
buhok,hair (on head)
buhos,to open a dam
buka,"to open up (usually something that is hinged, like an oyster or can; also lips); get opened up"
bukad,"unroll, roll open, unwrap"
bukae,to boil (said of heated liquids)
bukas,"to open up (window, door)"
bukaw,owl
bukbuk,bamboo gnat; powder or dust left by boring of insects
bukead,open up (as the hand)
bukead,to open up (as hand)
bukid,mountain
bukid-non,mountaineer
buko,joint (of bamboo); wrist
bukoe,"very young coconut; swell up, protrude, stick out, stick through (like a pen underneath a piece of paper)"
bukon,"not, no, it is not (used to negate nominals and adjectives or similar descriptions)"
buktot,"hunchbacked, stoop-shouldered"
bulador,kite
bulalakaw,"bird, believed to be carrier of evil spirits"
buli,"rear, back"
bulig,bunch of bananas or similar fruits
bulig,"to help, assist; help, assistance"
bulilit,"dwarfish, tiny"
bulinaw,very small fish
bulong,"whisper, speak softly"
bulong-bulong-an,"rumor, gossip, whisperings"
bumba,"to bomb, drop bombs on"
bumba,"to pump (water, gas)"
bumba,"pump (for water, gasoline, etc.)"
bunae,stick (used for beating)
bunae,stick (used for beating)
bunae,"beat up, batter"
bunak,"wet, damp; to moisten, dampen, wet"
bunbun,"young rice seedlings, rice shoots"
bunga,bear fruit
bunga,"fruit; betel nut (palm, nut): Areca catechu var. Alba"
bunga-bunga,small mouse
bungah-an,"list of answers for an exam, 'cheat sheet'"
bungbung,partition; temporary wall
bungi,harelip
bungi,having a harelip
bungkag,"dismantle, take apart, undo; be disrupted, get taken apart"
bungkog,hump (bump on back of some animals)
bungkog-an,having a hump
bungo,skull
bungoe,"deaf, unable to hear; become deaf"
bungog,"fool, stupid fellow, jerk"
bungot,"whiskers, beard, facial hair"
bunguean,"a delicious, long, yellow-green banana: Musa sapientum, var. suaveolens"
bun-i,"white skin disease, ringworm"
buno,to stab
bunok,"rain heavily, rain ""cats and dogs"""
bunot,coconut husk or fibers; to husk a coconut
bunt-i,husk it!
buntis,pregnant
bunyag,"to water, sprinkle with water; baptize; watering, sprinkling; baptism"
bunyag-i ro bueak,water the flowers!
bu-oe,heel (of foot)
bu-ong,to break
burbur,semen; sexual fluids
buri,"buri palm (tree, fibers): Corypha elata"
buringot,"bad-humored, moody, out-of-sorts, crabby"
buroe,to embalm
bus-ak,to chop (wood)
busbus,"tear open, puncture, slit open (as with a knife, a chicken tearing open a sack so that the rice inside gets scattered)"
buskad,to open wide (like a flower)
busog,"be full, satisfied (after eating)"
buson,"mail box, postal box"
buswang,"erupt, open up (sore, boil)"
buta,blind; blinded
buta-buta,"a game, 'Blindman's bluff'"
buti,"popcorn, popped rice"
butig,wart
butkon,"arm, upper arm; sleeve (of shirt, dress)"
buto,blister
butod,"swell up (due to gas), become bloated (stomach)"
butong,bamboo: Bambusa vulgaris
butong,"to pull, yank"
butot,tadpole (baby frog)
buybuy,"'cotton tree', used for stuffing pillows and mattresses: Ceiba pentandra Linn."
buybuy,"cotton tree, used for stuffing pillows and mattresses: Ceiba pentandra L."
buyo,"to deceive about, conceal one's real intentions"
buyo,leaves for chewing: Piper betle
buyok,"charmed, convinced"
buy-on-an,having a bloated stomach or beer belly
buyong,"spin, turn round and round, go in circles"
daan,"older, ancient; the former"
dabong,"bamboo shoot (Masbatenyos, like most Filipinos, boil young bamboo shoots for food); immature, young (refers to children, unripe fruits or untempered metal)"
daeaga,"girl, young lady, young unmarried woman; maiden"
daeagan,to run (on foot)
daeagangan,"powerful, mighty, exceedingly strong; Herculean"
daean,"road,way, path, trail, street; be carried away by, be led by; almost forget (something else)"
daeas,"often, frequently"
daeom,to get deep(er)
dagami,"rice stalk, straw (from rice)"
dagat,"get motion sickness, get seasick"
dagat,salt water; sea
dagit,"to pounce upon, swoop down and seize (said of birds seizing prey)"
dagsa,get washed ashore
dahil,because
dahon,"leaf, leaves; to produce leaves"
dahon-dahon,grass snake
daki,dandruff
daki-hon,having dandruff
dakop,"to capture, catch (as dog, person, fish)"
dalisay,"pure, genuine; saturated through and through; strong (flavor)"
dalit,"venom, poison"
dalit-an,"venomous, poisonous"
dama,Spanish checkers; king checkers
damah-an,checkerboard
dana,that
danaw,"lake, pond"
dangaw,handsbreadth (unit of measurement about 8 inches long)
dangdang,"warm up, put near the fire, heat up"
dapdap,kind of tree
dapeos,to slide down (as down the railing of a stairway); to slip down (unable to take hold)
dapit,"situated, located"
dapit,"situated, located"
dapit,to ferry across
dapit-an,ferry landing
daplis,"grazed, scratched, having an abrasion, slightly cut"
dapog,"stove, hearth"
datag,"open field, plain, prairie"
datu-,"ruler, king; rich, wealthy, powerful (through money)"
dawa,grass; rice grain dessert preparation
dawat,"to take, receive, get from above"
dayaw,"to praise, honor, laud"
da-ywa,"to make into two, raise or lower to two"
da-ywa,two
dila,tongue
dila--an,sharp-tongued (referring to a gossiper)
dilap,to lick
dingding,wall
dueas,to slip
dueok,to clear away the stumps of trees and other vegetation in order to plant
dueom,to get darker
dugmon,nest or mat for a pig
dugo,blood; to bleed
dugo-an,"a Filipino dish made from the blood and intestines of pigs, chickens, etc."
duha-duha,"hesitation, doubt, fear"
duha-duha,"to doubt, be hesitant; delay, hesitate"
dukot,"hard cooked rice at the bottom of the pot; to stick to, cling to; to get pregnant"
dukot,to pick someone's pocket
dukot,to stick together
dulis,shooting star
dumdum,"to remember, keep in mind"
dungog,"fame, honor, reputation"
dungog,"listen to, hear, give ear to"
dunong,"wisdom, knowledge"
dupa,"armsbreadth, armspan [unit of measure]; to stretch out one's arms, hold one's arms out sideways"
dusdus,"to push, shove"
dutdut,"to tighten, squeeze together (usually by pushing)"
duyan,hammock; cradle; to rock [a baby] to sleep
duyan-duyan,to rock back and forth
eaba,"to launder, wash clothes"
eabnog,a medicinal shrub: Ficus hauili Blanco.
eabong,"grow steadily, multiply, expand, be prolific"
eabot,"affair, concern, business"
eaea,to weave mats
eaga,"red, reddish"
eakad,to step over (with big steps)
eakaw,"to amble, go around"
eaki,"man, male"
eakin-on,mannish
eali,fish
eambong,shirt; blouse; dress
eamon,"to eat (of an animal); to eat like a pig, eat voraciously and sloppily"
eanab,"to flood a little bit, overflow a little"
eanab-eanab,to rise (said of the river's water level)
eang,"just, only"
eangaw,fly (general term for this family of insects)
eangit,"sky, heaven"
eangoy,to swim (after/the length of)
eanos,a somewhat old coconut
eanot,abaca fiber
eanting,high-pitched (voice)
eaon,"old (rice; maid); spinster, spinstress"
eapaw,"surpass, exceed, excel"
eapdos,to strike with a downward motion
eapid,"to join, unite, put together"
eapot,"sticky, pasty"
easaw,"not sticky; liquidy, watery"
easg-on,having enlarged testicles
easog,testicle
eat-as,try to get to some place by a route not ordinarily taken
eatay,to cross a small bamboo bridge
eatay-an,"river-crossing, small bamboo bridge"
eati,field (for farming)
eawa,spider
eawa--eawa,"cobweb, spiderweb"
eaway,"to salivate, froth at the mouth"
eaw-ay,"to be indecent; become, get ugly"
eawod,"ocean, sea"
eaya,dry land
eayag,sail [of boat]
eayog,long range; high; very high; tall (as coconut trees)
eubak-eubak,holes in the road
eubog,"murky, clouded, dirty (water)"
eubos,deep; sincere; true
eudh-an,"kneeler, kneeling bench"
eueod,shin (part of leg)
eugaw,"to make rice broth, cook rice porridge"
euha,to shed tears; to water (of the eyes)
euha,teardrop
euhod,to kneel
euksa,mourning
eukso,to jump over
eukton,small locust
eumo,"to consider easy, find easy"
eumon,to live with or dwell with as an outsider
eumos,to drown (either accidentally or intentionally)
eumot,"moss, algae – growing in sea"
eunud,"sink, go under water"
eupi,"to get bent, crushed"
eupo,poisonous freshwater fish
euto,"ripe, ready to eat (fruit); ripen, get ripe"
euwas,"outside; to save from [troubles, evil]; free, liberate; aside from, outside of"
euya,"weak, feeble, not strong"
gabi,taro: Colocasia esculenta
gabii,"evening, nighttime"
gabok,"to rot, become rotten"
gabot,to pull (out)
galing,"to grind, mill"
galing-an,"grinder, mill"
gamot,root
gaod,to paddle; to row (a boat)
gaod,paddle; oar
gapos,"twine, rope"
gapos,"to tie up, bind"
gasa,gauze; wick of lamp
gatong,"fuel, firewood; to use fuel or firewood"
gatos,hundred; one hundred
gawang,door
gawang,door
gawgaw,raw starch
gikas,"strip, trim, cut"
gilak,"glitter, shine"
gingaw,kind of fish
gi-nhawa,"breath, health"
gi-nhawa,to breathe
gin-unah-an,went ahead of
gi-ok,to thresh rice with one's feet
gueang,to get older
gulpi,"sudden(ly), quick(ly), without warning; to be taken aback, surprised, be a victim of a sudden act"
gunting,"scissors, shears; to cut with scissors or shears"
gusok,rib bone
guyod,"to drag, pull along [the ground]"
guyod,"to drag, pull along [the ground]"
habagat,south wind
haboe,to weave
haboe,"blanket, use a blanket"
haeab,"to graze, eat grass"
haeo,large lizard which eats chickens
hae-o,"pestle, pounding stick"
haeok,to kiss
hagak,"bragging, boastful, proud, over-exaggerating"
hagdan,"stair(s), step(s)"
hagong,in death throes due to disease
hagong,"groan, moan"
hagong,"groan, moan (due to severe pain or sickness)"
hakot,"get, gather, bundle up"
hakot-hakot,bee-like insect building nests of mud
haligi,"column, post, mainstay, support (of house)"
halin,"transfer, move to another place"
hamak,particle used for strong emphasis or stress
hambog,"proud, swell-headed, boastful"
hampak,"to beat, belt, spank, slap"
hampang,to play (a game)
hamtak,long bean: Vigna sesquipedalis
hangad,"intend, try, aspire (for/to)"
hanggae,"joke, trick"
hangin,"air, wind"
hangin-on,"pretentious, boastful; crazy, foolish"
hangit,"irritated, provoked, angry"
hangos,pant (from loss of breath); breathless
hangos,to pant (from loss of breath); breathless
hapdi,"cause pain, smart, hurt a lot; be in pain, feel a smarting pain"
hapdos,"hurt a little, be painful"
hapin,"cover, covering, placemat"
hapin,"put something underneath (to protect the bottom surface from heat, dirt or the like)"
hapit,"stop for, pick up (when on one's way)"
haplit,"to whip, lash"
hapon,"afternoon; to roost, go to roost, settle down (birds)"
hapon-an,"perching rod or twig, roost"
hapuhap,"feel around, feel for (something -- as when searching a thief for something stolen or for a weapon)"
hasang,gill (of fish)
hatag,to give (something)
hatd-an imaw,escort him (imperative)
hatod,"to escort, take, deliver safely, conduct"
hatoe,"to judge, render judgment"
hawak,waist
hawan,"clear up, clean up, make open"
haw-as,to take out (from container)
hayop,"mammals, cattle"
hias,"jewels, treasures"
hias,"seed; idea, thought"
hi-bilin,"leave behind; order, request"
higop,"inhale, sip"
higot,string (for tying)
higot,tie up
higot,to tie up
hila,to pull
hilamon,"to pull grass out, pull weeds"
hilaw,"raw, uncooked; unripe"
hilig,"fond of, inclined to, having a liking for; hobby"
hilit,"corner, side"
hilot,restore a broken bone; massage
himok,"persuade, convince"
hi-ngaean,"to pronounce, say, name"
hi-nguto,to take out lice from someone's hair
hi-ninga,take out food particles between one's teeth
hipag,sister-in-law
hipon,small shrimp
hipos,"to keep silence, be quiet; to keep secret"
hita,"crotch, groin"
hito,fish sp.
hiwi,"uneven, askance, off to one side"
hoe,cry to stop a carabao
hoy,expression used to call the attention of another; term used to drive a dog away or stop it from barking or biting another
hubad,"unravel, untie, unwind"
hubas,low tide
hueam,borrow
hueaw,"stop raining, ""let up"" (rain only)"
hueog,"to drop (something); mail (a letter); to fall, get dropped"
hueom-on,to borrow
hugas,"rinse, wash off"
hugong-hugong,rumors
hugong-hugong,rumors
hugot,"to tighten, make firm"
hukas,"take off, unstitch"
hulid,"sleep with, share a bed with, be in bed with"
hulikap,"to pet, feel around (the body)"
humay,cooked rice
humbak,"wave, crest"
huna--huna,"speculate, think of, consider; speculation, idea, thought"
