word,etymology,pos,classification,definition,similar,opposite
agbon,,n,,"mist, haze, fog",,
agboy,,n,,(shrub--medicinal) (sn: Mussaenda philippica A. Rich.),,
Agbukad,,n,,"sitio of Aquino, Ibajay",,
agda,,rv1,,"invite, remind someone of an invitation",,
Agdugayan,,n,,barrio of Ibajay,,
Ageangbon,,n,,sitio in Madalag,,
aghas,,rv1,,"to force oneself, try one's hardest, ""put ones best foot forward"", do one's best",,
agi,,rv3,,"to pass by, bypass, pass up",,
agi,,n, ,"handwriting, script",,
agi,,adj,,"effeminate, ""queer"", homosexual",,
agihis,,n,,(seashell--small),,
agihis,,adj,idm,effiminate,,
agila,sp,n,,eagle,,
agindan,,n,,"(fly--large, blue)",,
agis-is,,n,,"dryness of skin, peeling skin",,
agiw,,rv7,,"to smudge, blacken with soot (smoke, fire one wall or ceiling)",,
agiw,,n,,"soot, black smoke deposit on wall or ceiling",,
Agkawilan,,n,,barrio of Lezo,,
Aglipay,,n,,person belonging to Philippine Independent Church founded by Bishop Gregorio Aglipay,,
Agmailig,,n,,barrio of Libakaw; small river in Libakaw,,
agod,,conj,,"so, so that, in order to, in oder that",agud,
agoe,,rv1,,to do a half-good (or) half-baked job,,
agoe,,adj,,"half-baked, unsatisfactory, unfulfilled, not thoroughly cooked/finished",,
agom,,rv3,,"to taste, receive one's due, enjoy, obtain, attain",,
Agosto,sp,n,,August (the eight month of the year),,
agotiot,,rv7,,"to squek (make a squeking noise, like a loose or poorly made chair or bed)",,
agoy,,intj,,"expression of pain: ""ouch""",aroy,
agrabyo,sp,rv1,,"to frustrate; take advantage of, extort",,
agrabyo,,n,,"grude, ill-will",,
agsa,,n,,"tenure, tenancy",,
agsa,,rv3,,"to have tenure, be a tenant; use and develop land",,
agta,,n,,"Negrito, Ate (aborigine of Panay)",,
agta,,adj,,"black, very dark skinned",,
agto,,rv4,,"to go, be on the way; go to see",adto,
agto,,rv7,,"to become crisp and/or brittle, crunchy",,
Agtohangin,,n,,"sitio of Panipyason, Madalag",,
agubay,,rv3,,"to support, assist in walking (like helping a lame man walk); go with, parallel, not contradict",,
aguguling,,n,,"(beetle--green, flying)",,
agugutay,,n,,the fruit of a wild banana,,
aguho,,n,,(tree--native pine-like) (sn: Casuarina equisetifolia),,
agunta,,rv2,,"to tense the body, force oneself, exert an effort (as when giving birth or moving one's bowels)",,
agup-up,,n,,"mold, fungus",,
Agutay,,n,,"sitio of Ondoy, Ibajay",,
Agutaya,,n,,"sitio of Maria Cristina, Madalag; creek in Madalag",,
agwa,sp,n,,"perfume, cologne",,
agwador,sp,n,,"water carrier, water salesman",,
agwahi,sp,n,,"a rush (of air), wave (of air or water, as produced by a quickly passing vehicle)",,
agwanta,sp,rv1,,"to endure, suffer; stretch to a point of endurance",,
agwantid,,intj,,"""suffer the consequences"", ""take what you deserve""",,
agwason,,n,,(snake--poisonous),,
ah,,intj,,"expression of discovery: ""oh!""",,
aha,,intj,,"""so there"", ""oh no""",,
ahas,,rv1,,to take out (of the water),,
ahat,,rv1,,"to force, compel",,
ahog,,rv1,,"to dampen, moisten, wet",,
akab,,rv1,,"to take for oneself, grad (land, possessions)",,
akad,,rv1,,"to dig (into; around for), excavate; go through",,
akae-akae,bkd,n,,bubble(s) (of boilig water; in rapids of river),,
akae-akae ,,rv7,,"to bubble, boil (said of water or liquids)",,
ak-ak,,rv1,,"to detach, separae, take apart/off",,
akasya,sp,n,,"(tree) acacia, rain tree (sn: Samanea saman)",,
Akean,oak,n,,paradise (legendary place of no troubles),,
Akean,,n,,the province of Aklan; the Aklan River,,
Akeanon,,n,,"an Aklanon, inhabitant of the province of Aklan",,
akid,,rv3,,to gang up on/against; join forces against,,
akig,,st2,,"to be angry, be furious (at)",,
akin,,n,,(fish),,
ako,,rv1,,"to assume responsibility, take upon oneself; avow; claim as one's own; admit (guilt)",,
ako,,t/pro,,I; me,,
akon,,a/pro,,"my, mine; I",,
akop,,adj,,"greedy, selfish",,
aksento,sp,n,,"accent, stress",,
aksento,,rv4,,"to accent, put stress (on)",,
aksidenti,sp,n,,accident,,
aktor,eng,n,,actor,,
aktris,eng,n,,actress,,
ala,sp,dp,,o'clock (used only with the first hour),,
ala,,intj,,"expression of challenge or victory: ""so there""",,
alaga,tag,rv1,,"to care for, take care of",dipara,
alagwa,sp,rv6,,"to sprint, run at full speed",,
alahas,sp,n,,jewlry,alahiro,
alambre,sp,n,,"wire (for hanging clothers, fasterning, etc.)",,
Alaminos,,n,,barrio of Madalag,,
alamusa,,adj,,"topsy turvy, messy, all out of order, upset",,
alas,sp,dp,,o'clock (used from two until twelve),,
alas,sp,n,,ace (as in deck of cards),,
Alas-as,,n,,barrio of Madalag,,
alawans,eng,n,,allowance,,
Albasan,,n,,barrio of Numancia,,
albor,sp,adj,,"superior, having an advantage, ""on top"" (often used with regard to chickens at a cock fight)",,
albor,,rv1,slg,"to get all, ""clean up"", take",,
album,eng,n,,"album (book for photographs), diary, scrapbook",,
Alegria,,n,,barrio of Buruanga,,
Alemanya,sp,n,,Germany,,
alerdyik,eng,adj,,"allergic, having an allergy",,
algo,sp,n,,"kick in, a little extra something, addition",,
algudon,sp,n,,cotton,,
alibag,,rv2,,"to throw away, discard",,
Alibagon,,n,,barrio of Makato,,
alibakos,,n,,native bath pice (worn while bathing); bath towel,,
alibangbang,,n,,butterfly,,
alibutbut,,n,,(shrub--medicianl) (sn: Tabernaemontana pandacaqui),,
alibutod,,n,,cod (of corn),,
alibutra,,n,,"(vine--large, woody) (sn: Arcangelisia Flava) (used medicinally)",albutra,
aligutgut,,n,,"hatred, hard feelings",,
alihid,,rv6,,to pass by the side (of),,
alikumo,,n,,(beach crab),,
alikumo,,rv6,,to fold one's arms over one's chest (as when one is in prayer or is shivering with cold),,
alila,,rv1,,"to adopt, foster, rear, bring up, raise",,
alila,,n,,"an adopted child, someone in another's care",,
alima,,rv1,,to use one's hands on,,
alima,,n,,hand,,
alimango,,n,,crab (generic term),,
alimatok,,n,,"leech, blood sucker",,
Alimbo,,n,,river in Nabas,,
alimbong,tag,n,,prostitue; any girl over-prone to attract attention,,
alimbukad,,rv7,,"to bubble out, spout up (liquid rushing from its source, like Coke out of a bottle)",,
alimbuyog,,adj,,having many colors (such as certain chickens),,
alimpupudwan,,n,,very center of top of head (where hair is found in a whirl); the crown of one's head,"alipueos, alipudwan",
alimukon,,n,,pigeon,,
alin,,v,,what?; do what? (particle that can be used as any part of speech),,
alinton,,n,,"second helping, second serving",,
alinton,,rv3,,to give (someone) a seond helping of food,,
alipaeok,,n,,"live ashes, small cinders that fly in the air from a fire (as from a strong fire on a windy day)",,
alipaksi,,adj,,"active, spritely, alert",,
alipano,,rv3,,"to notice, take note of, observe",,
alipante,sp,n,,elephant,elepante,
alipata,,n,,(tree--poisonous) (sn: Excoecaria agallocha),,
alipotan,,n,vul,ass hole,,
alipotan,,n,stf,asun,,
alipotan,,n,gen,rectum,,
alipuan,,n,,stem (that connects a fruit to the vine or branch),,
alipudwan,,n,,crown of head (place where hair is found in a whirl),"alimpupudwan, alipueos",
alipueos,,n,,oval; whirl of hair; whirlpool (as in river),,
alipungot,,adj,,"frustrated, discourage, out of sorts",dalipungot,
alipungto,,n,,"topmost part, peak, pinnacle (of tree, mountain)",tingoy-tingoy,
alipusta,tag,st2,,"to be criticized, be condemned",,
Aliputos,,n,,barrio of Numancia,,
alisbong,,rv7,,"to smell, reek, stink (in good or bad sense)",,
alisi,sp,n,,propeller (of boat or airplace); fan (of engine),,
alisiwsiw,,n,,(grasshopper--small),,
aliso,,n,,(fish),,
alisoso,,n,,"(center or very tender portion of any living plants, particularily in their younger stages of growth)",,
alisto,sp,adj,,"alert, clever, bright agile, ""ready and able""",,
alitaptap,,n,,(glowworm--found on rocks at high tide),,
alkalde,sp,n,,mayor,meyor,
alkalde,,rv5,,to sere as mayor,,
alkampor,sp,n,,scented box; (dance--using scented handkerchiefs),,
alkansi,sp,n,,loser,,
alkansi,,rv1,,to lose (on a business deal),,
alkansiya,sp,n,,"bank, piggy bank, deposit box",,
alkimiya,sp,n,,"alchemy, fake chemistry",,
alkitran,sp,n,,"tar, asphalt",,
alkuhol,sp,n,,alcohol,,
alkuholira,sp,n,,(small can used in lighting up a petromax or gas lantern),,
almanaki,sp,n,,"almanac, yearbook, calendar (of events)",,
almasin,,n,,"store, factory",fabrika,
almiris,sp,n,,mortar and pestle (set),,
alpargata,sp,n,,cloth shoes (cloth tied around feer for shoes),,
alpot,,n,vul,"prostitue, call firl, B-girl","puta, pampam",
alpunsino,sp,n,,"crewcut, very short haircut",,
alsa,sp,rv1,,"to raise, lift up, elevate",,
altar,sp,n,,alter,,
Altavas,sp,n,,municipality of Aklan,,
aluminyon,eng,n,,aluminum (metal),,
Alvar,sp,n,,sitio in Libakaw,,
ama,,n,,father,,
ama-ama,,n,,stepfather,,
amaeadyang,,n,,"(bird--small, black, with red eyes)",,
amaeanhig,,n,,"zombie, dead person come to life",,
amag,,n,,mold,agup-up,
amag,,st3,,to get moldy,,
amag,,rv5,,to give attention and love (said of a baby only),,
amak,,n,,"tinder, kindling (small pieces of fuel for fire)",,
amakan,,n,,mat of woven bamboo,,
amamaeo,,n,,evil spirit,,
amamakoe,,n,,"(mushroom--large, light brown on edge and dark brown in center)",,
amamangi,,n,,(small crab--with one large and one small pincher),,
aman,,n,,"an addition, a kick-in, something extra (given as a bargain on a purchase)",,
aman,hil,rv3,,"to beware of, be careful with",,
amanggueang,,n,,"grandfather, great-grandfather",,
amarguso,,n,,(vegetable--ampalaya) (sn: Momordica charantia),,
amarilyo,sp,n,,(flower--yelow),,
amat,,rv1,,"to do something a little at a time, do/go bit by bit",,
amba,hil,rv1,,to sing,,
ambag,,rv3,,"to share with (in paying for something), pitch in",,
ambasador,sp,n,,ambassador,,
ambi,,dp,,"""give"", ""gimme""",abi,
ambi,,rv7,,"to get inside the window, seep in (rain)",saeuso,
ambisyon,sp,n,,"ambition, aim, desire",,
ambit,,rv1,,to share (with),,
ambon,,n,,"fog, mist, haze",,
ambong,,adj,,"charming, elegant, gracious, feminine (lady)",,
ambos,eng,rv3,,"to ambush, attack by surprise",,
ambot,hil,intj,,(I) don't know,tao,
ambueong,,n,,(palm--used for roofing) (sn: Metroxylon Sagu Rottb.),,
Ambueong,,n,,barrio of Batan,,
ambulansya,sp,n,,ambulance,,
amen,sp,intj,expr,"""amen"", ""so be it""",,
amen,,rv6,,to obtain a blessing,,
Amerika,sp,n,,America,,
ami,,n,,second planting season (especially for rice),,
ami,,rv1,,to plant during the second planting season,,
amigo,sp,n,,"friend, buddy",migs,
amihan,,n,,northeast wind,,
amin,,rv1,,to get/take all,,
aminudo,sp,rv1,,"to buy retail, buy goods on a retail basis",,
amiroe,sp,n,,starch,,
amiroe,,rv3,,"to starch, put starch on",,
amis,,rv1,,"to chase, runafter",eagas,
amlig,,rv3,,"to take care of, watch after, be careful with",,
amo,sp,n,,"lord, master, overseer",sueuguon,
amo,,n,,monkey,,
amod,,rv3,,"to mix with, mingle",,
amon,,a/pro,,our; we (excluding you),,aton
amor,sp,n,,love,"gugma, higugama",
amorado,sp,n,,"(banana--large, red) (sn: Musa sapientum var. ginaring)",morado,
amosikos,,n,,(weed--with burrs or stickens) (sn: Andropogos aciculatus),,
amot,,n,,"contribution, donation, chip in",,
amot,,rv3,,"to contribute, chip in, donate, share in payment",,
ampara,,rv1,,"to break up, stop (a fight)",,
ampaw,,n,,(dessert preparation) popped rice candy,,
ampayr,eng,n,,umpire,,
ampo,,rv2,,"to pray for, intercede for; plead (for), surrender",,
ampon,,n,,"an adopted child, foster child",,
ampon,,rv1,,to adopt,,
amueanbuean,,n,,(fish),,
amueunae,,n,,pounder(s) (someone whose job is pounding),,
amuhoe,,rv6,,to be very dirty,dungis,
amuhoe,,adj,,"dirty, sloppy",,
amulit,,n,,waste,,
amulit,,rv3,,"to waste, squander",,
amulit,,st5,sup,to waste away (due to some curse or incantation),,
amuma,,rv1,,"to entertain, take care of",,
amumuong,,n,,(bee--with poisonous sting),,
amuyong,,n,,(tree) (sn: Goniothalamus amuyon),,
amwad,,rv6,,"to increase, become numerous, progress",hamuad,
amyon,,adj,,"fragrant, good smelling",,
ana,,a/pro,,his/her; he/she,,
anad,,st2,,"to be used to; become accustomed to; get used to, familiar with",,
anagas,,n,,(tree--nmedicianl ointment) (sn: Semecarpus cuneiformis),,
anaga-taga,,n,,praying mantis (insect),,
anahaw,,n,,fan palm (sn: Livistona rotundifolia),,
anak,,n,,child,,
anak,,rv1,,"to become a godparent, be a godparent (for/to)",,
ananay,,rv1,,"to go slowly, work carefully, do gradually",inanay,gulpi
anano,sp,n,,"dwarf, midget",enano,
anay,,dp,,"""wait"", ""first"", ""please"", ""just a moment""",,
anay,,n,,termite (general term),,
anda,,a/pro,,their; they,,
andador,sp,n,,ambler (devide used to help babies learn to walk),,
Andagaw,,n,,barrio of Kalibo,,
andahanon,,adj,,their very own,,
andam,,rv3,,"to beware of, be wary; be ready for",,
andamyo,sp,n,,"ramp, gangplank",,
andar,sp,rv7,,"to move, run (such as wristwatch, motor)",,
anday,,am,,"plural associate marker for the names of persons or pets, used in prepositive position",,
andoe,,rv1,,"to grate, squeeze (out), extract (coconut oil)",,
anduhoy,,rv6,,"to be morose, morbid, in deep thought; to sigh",,
ang,,a/pro,,"my, mine (abbreviation of: akon nga)",,
angan-angan,,rv1,,to wait a little while; spend some time (idling),,
Angas,,n,,barrio of Batan,,
angay,,rv1,,"to complement, be a good match for, be fitting, harmonize; to adjust; to tune (a musical instrument)",,
Angeles,,n,,barrio of Malinaw,,
angga,,rv1,,"to care for, be fond of, cherish",,
anggid,,adj,,"similar, resembling, somewhat the same",,
anggisod,,rv8,,"to come in succession, come a few at a time",,
anggoe,,rv3,,"to trim off, cut off (one's hair)",,
anghil,sp,n,,angel,,
anghil,sp,n,,angel,anghel,
anghit,,adj,,"smelly, having strong body odor (or an odor like the body odor; said of butter and some animals)",,
angka,,rv1,,"to refuse, give up, deny",,
angkab,,rv1,,"to chomp, take a big bite out of something",,
angkas,,rv3,,"to ride together, hop on (a bicycle)",,
angkat,,n,,"gap, distance",,
angkat,,rv1,,get on credit,,
angkayan,,n,,dired cork stalk(s),hungkayan,
angkit,,rv1,,"to bite, nip",,
angkla,sp,n,,anchor,,
angkla,,rv3,,"to weigh anchor, drop anchor, anchor down",,
angkob,,n,,"seal, filling, joiner, gap-filler",angkop,
angkon,hil,rv1,,"to accept, own up to admit, claim for one's own",ako,
anglit,,n,,small earthenware pot,,
angoe,,n,sup,disease inflicted by voodoo or black magic,,
angoe,,st2,,to be inflicted with some sickness or infirmity due to black magic or voodoo,,
angot,,rv2,,"to join together, put side by side, unite",,
angot,,rv6,,"to want to go with, follow eagerly, pusue",,
angso,,adj,,having the smell of urine,,
angsod,,n,,underarm odor,,
angta,,adj,,"burned, smelling overcooke",anta,
angtod,,adj,,"smelling overcooked (said of food, esp. rice)",,
ani,,n,,harvest,,
ani,,rv1,,"to harvest, gather a crop",,
anib,,n,,"ally, assistant",,
anilaw,,n,,(small tree) (sn: Grewia eriocarpa),,
animal,sp,n,,"animal, crude or uncivilized person",,
aninipot,,n,,firelfly,,
anino,,n,,"shadow, reflection; image; silhouette",,
anit,,rv3,,"to pick on (in numbers), gang up on, jump on, ""devour"" (by many people, into many shares)",,
anitos,sp,n,sup,"benevolent lesser spirits (who go around countering the evil done by devils or evil spirits), the pagan version of a ""saint""",,
ano,,qp,,what?; do what? (particle that can be used as any part of speech),,
anod,,rv1,,"follow the current, drift",,
anok,,cv,,"to cook with low heat, simmer",,
an-om,,n.det,,six,,
an-om,,rv1,,"to make six, raise (or) lower to six",,
anonang,,n,,(tree--fruit is used as paste) (sn: Cordia dichotama),,
anta,,adj,,having the smell of burnt rice,angta,
antabay,,n,,"(shrimp--very small, black, fresh water)",,
antabay,,rv1,,to wait for,"hueat, angan-angan",
antad,,n,,"gap, distance, space",,
antad,,rv1,,"to leave a gap, separate; keep one's distance",,
antatay,,rv1,,"to slow down for, wait for (by moving slower and allowing the other to catch up)",angan-angan,
antayamis,,n,,(bird--small sparrow),,
antigo,sp,v,,to know how (to do something),maka-,
antigo,,st5,,"to know how, understand how (to do something)",,
antina,sp,n,,antenna (of radio),,
anting,,adj,,"keen, good, sharp (of hearing)",,
anting-anting,,n,sup,"amulet, charm (supposedly possessing a secret power allowing a person to avoid injury); power of invulnerability",,
antipara,sp,n,,"eyeglasses, glasses",antiyohos,
antipara,,rv5,,to wear/use eyeglasses,,
antipatiko,sp,adj,,"antagonistic, antipahtetic, contrary",,
Antipolo,sp,n,,barrio of Ibajay,,
antiyohos,sp,n,,"eyeglasses, glasses",antipara,
antolihaw,,n,,(bird--yellow),,
antos,,rv1,,"to suffer, endure, put up with",,pakaeumo
antoyamis,,n,,(bird--very small),,
anunuo,,n,,spiny bamboo (sn: Bambusa spinosa),,
anwang,,n,,"carabao, water buffalo",,
anyag,oak,adj,,"beautiful, charming (personality, appearance)",,
anyel,sp,n,,blue powder used as a bleaching agent,,
anyel,,rv3,,to bleach (using blue powder),,
anyo,,qp,,"whose?, of whom?, who?",,
anyo,sp,n,,year,dag-on,
anyos,,n,,years,,
apa,,n,,"mute, someone unable to speak ",,
apa,,n,,ice cream cone; the pastry used to make wafers or barquillos,,
apan,,n,,(insect--locust),,
apang,,conj,,"but, however",,
aparador ,sp,n,,"cabinet, closet, cupboard",,
Aparicio,sp,n,,barrio of Ibajay,,
apartment ,eng,n,,"apartment, one unit of a multiple dwelling",,
apas,,rv1,,"follow after, go a little later",,
ap-at,,n.det,,four,,
ap-at,,rv1,,to make four; raise (or) lower to four,,
apaw,,rv3,,"to exceed, go beyond",,
apdo,,n,,bile; bile duct (and/or) gall bladder,,
apeod,,adj,,having the flavor of raw or unripe bananas,,
api,,rv1,,"to exclude, keep out, not recognize ",,
apid,,rv2,,"to join, attach, enclose",,
apihis,,n,,"maggot, fly egg",,
apilyido,sp,n,,"family name, surname ",,
apin,,rv3,,"to ally oneself (with); side with, take the side of",,
apindiks,eng,n,,appendix,,
apitong,,n,,(tree--balao oil tree) (sn: Dipterocarpus grandiflorus),,
apo,,n,,grandchild,,
apog,,n,,powdered lime (used in chewing betel nuts); to put lime (into),,
apogan,,n,,"lime box, case used for storing lime powder",,
apok,,rv2,,to be blown away (by the wind),,
apora,sp,rv1,,"to rush, hurry, hasten",,
aporado,,adj,,"in a hurry, rushed",,
apostropi,sp,n,,apostrophe,,
apresyar,,rv1,,to appreciate,,
Aprika,eng,n,,Africa,,
apuro,sp,n,,inner lining (of clothing used to stiffen it),,
apustol,sp,n,,apostle,,
aputoe,,n,,(fish),,
aputong,,n,,(tree--balao oil tree) (sn: Dipterocarpus grandiflorus),apitong,
apyan,sp,n,,opium,,
apyaniro,,n,,"dope addict, person who takes opium",,
Aquino,,n,,barrio of Ibajay,,
Arab,eng,n,,Arabia,,
Arabya,sp,n,,Arabia,,
arado,sp,n,,plow,,
arag,hil,rv3,,"to give, offer",,
aragay,bkd,intj,,"""ouch"" (expression of pain)",aroy,
Aranas,,n,,barrio of Balete,,
araro,,n,,(tubercule) arrow root (sn: Maranta arunciinabea) L.,,
aras,sp,rv3,,to join (or) unite in marriage,,
arasan,,n,,place where a wedding takes place,,
Arcangel Norte,,n,,barrio of Balete,,
Arcangel Sur,,n,,barrio of Balete,,
arena,sp,n,,"arena, theatre, amphitheatre",,
Argaw ,,n,,barrio of Malay,,
argulya,sp,n,,large circular object used for physical fitness,,
ari-a,,intj,,"""the nerve!"" ""imagine that!"" (term of disgust)",,
arigato,sp,intj,,"""thanks"" (used jokingly or lightly)",,
ariglado,sp,adj,,"arranged, certain, fixed, settled, established",,
aringking,,rv6,,to hop on one foot,,
arinha,oak,rv6,,to go there,,
arinola,sp,n,cor,urinal ,orinola,
ariring ,hil,rv6,,pinwheel (toy); windmill (used for pumping water),,
arisgado,,adj,,"risky, daring, chancy",,
arisgar ,sp,rv3,,"to risk, take a chance, go ahead on (even if in doubt)",,
aristokratik,eng,adj,,"aristocratic, swell-headed, overbearing","palabi-labihon, bugaeon",
aritmitik,eng,n,,arithmetic,,
aritos,,n,,earring,,
ariya,sp,rv2,,"to lower, let down; let loose (usually on a rope)",,
ariya,oak,rv6,,"to arrive, come here, approach",,
arkanghil ,sp,n,,"archanghel, an anggel of the highest order",,
arkila,sp,rv1,,"to hire, rent, charter",,
arkilado,,adj,,"chartered, hired",,
arkitek,eng,n,,architect; architecture,,
arkitekto,sp,n,,architect,,
arko ,sp,n,,ark (boat); arc (half circle),,
armas ,sp,n,,"weapon, arm(s); firearms",,
armi,eng,n,,army,,
aroma,sp,n,,"fragrance, good smell (sn: Acacia farnesiana.)",,
arosera,sp,n,,"rice mill (portable, brought around from place to place)",,
arot,eng ,n,,"crewcut, ROTC haircut",,
aroy,,intj,,"""ouch!"" (expression of pain)",,
arpa,sp,n,,harp (musical instrument),,
arsya,sp,n,,"rigging, gear, tackle (of sailboat; ship)",,
arte ,sp,n,,"art, design, flair",,
arte ,,rv5,,"to overact, act up, misbehave",,
arte ,,rv1,,to act,,
arte ,,rv3,,"to put on decorations, decorate, design",,
artehan,,adj,,"vain (about one's looks); fickle, wishy-washy",,
artikulo,sp,n,,"article, msrker (grammatical term)",,
